"name","apps_expected_lifespan","play_expected_lifespan","apps_expected_revenue","play_expected_revenue"
"ASOS",11.0,10.4,198000.0,187200.0
"Cytus",11.0,10.4,198000.0,187200.0
"Domino's Pizza USA",11.0,10.4,198000.0,187200.0
"Egg, Inc.",11.0,10.4,198000.0,187200.0
"Geometry Dash Lite",11.0,10.0,198000.0,180000.0
"PewDiePie's Tuber Simulator",11.0,10.6,198000.0,190800.0
"The EO Bar",11.0,10.4,198000.0,187200.0
"The Guardian",11.0,10.4,198000.0,187200.0
"aa",10.0,9.4,180000.0,169200.0
"Adobe Illustrator Draw",10.0,9.8,180000.0,176400.0
"Afterlight",10.0,9.6,180000.0,172800.0
"Agar.io",10.0,9.4,180000.0,169200.0
"AJ Jump: Animal Jam Kangaroos!",10.0,9.8,180000.0,176400.0
"Alizay, pirate girl",10.0,10.0,180000.0,180000.0
"Alto's Adventure",10.0,10.2,180000.0,183600.0
"Angry Birds Blast",10.0,10.2,180000.0,183600.0
"Angry Birds Epic RPG",10.0,10.0,180000.0,180000.0
"Angry Birds Rio",10.0,9.8,180000.0,176400.0
"Angry Birds Star Wars",10.0,9.6,180000.0,172800.0
"Animal Jam - Play Wild!",10.0,10.2,180000.0,183600.0
"Army of Heroes",10.0,10.0,180000.0,180000.0
"Asphalt 8: Airborne",10.0,10.0,180000.0,180000.0
"Bad Piggies",10.0,9.6,180000.0,172800.0
"Bad Piggies HD",10.0,9.8,180000.0,176400.0
"Battleheart Legacy",10.0,10.2,180000.0,183600.0
"Bejeweled Classic",10.0,9.8,180000.0,176400.0
"Bible",10.0,10.4,180000.0,187200.0
"Bloons TD 5",10.0,10.2,180000.0,183600.0
"Boom Beach",10.0,10.0,180000.0,180000.0
"Bullet Force",10.0,10.0,180000.0,180000.0
"Call of Duty®: Heroes",10.0,9.8,180000.0,176400.0
"Can Knockdown 3",10.0,9.2,180000.0,165600.0
"Candy Crush Saga",10.0,9.8,180000.0,176400.0
"Candy Crush Soda Saga",10.0,9.8,180000.0,176400.0
"Chase Mobile",10.0,10.2,180000.0,183600.0
"Choices: Stories You Play",10.0,10.2,180000.0,183600.0
"Clash of Clans",10.0,10.2,180000.0,183600.0
"Clash Royale",10.0,10.2,180000.0,183600.0
"ClassDojo",10.0,9.8,180000.0,176400.0
"Cooking Fever",10.0,10.0,180000.0,180000.0
"Crazy Freekick",10.0,8.8,180000.0,158400.0
"Design Home",10.0,9.8,180000.0,176400.0
"Discord - Chat for Gamers",10.0,10.0,180000.0,180000.0
"Disney Crossy Road",10.0,10.0,180000.0,180000.0
"Doodle Jump",10.0,9.6,180000.0,172800.0
"DoorDash - Food Delivery",10.0,10.0,180000.0,180000.0
"Dr. Panda & Toto's Treehouse",10.0,9.8,180000.0,176400.0
"Dragon Hills",10.0,10.0,180000.0,180000.0
"DRAGON QUEST",10.0,9.4,180000.0,169200.0
"Dubsmash",10.0,9.4,180000.0,169200.0
"Dude Perfect",10.0,10.0,180000.0,180000.0
"Dude Perfect 2",10.0,10.0,180000.0,180000.0
"Earn to Die 2",10.0,10.2,180000.0,183600.0
"Episode - Choose Your Story",10.0,9.6,180000.0,172800.0
"F-Sim Space Shuttle",10.0,9.8,180000.0,176400.0
"Fallout Shelter",10.0,10.2,180000.0,183600.0
"Farm Heroes Saga",10.0,9.8,180000.0,176400.0
"Farming Simulator 16",10.0,9.4,180000.0,169200.0
"Fernanfloo",10.0,10.6,180000.0,190800.0
"FINAL FANTASY BRAVE EXVIUS",10.0,10.2,180000.0,183600.0
"FINAL FANTASY V",10.0,10.0,180000.0,180000.0
"Fishdom",10.0,10.2,180000.0,183600.0
"Five Nights at Freddy's",10.0,10.2,180000.0,183600.0
"Five Nights at Freddy's 2",10.0,10.2,180000.0,183600.0
"Five Nights at Freddy's 3",10.0,10.4,180000.0,187200.0
"Flow Free",10.0,9.6,180000.0,172800.0
"Frozen Free Fall",10.0,9.6,180000.0,172800.0
"Fruit Ninja Classic",10.0,9.6,180000.0,172800.0
"Fruit Ninja®",10.0,9.6,180000.0,172800.0
"Fuel Rewards® program",10.0,10.2,180000.0,183600.0
"Gear.Club - True Racing",10.0,9.8,180000.0,176400.0
"Geometry Dash Meltdown",10.0,10.2,180000.0,183600.0
"Geometry Dash World",10.0,10.2,180000.0,183600.0
"GMX Mail",10.0,9.6,180000.0,172800.0
"Google Docs",10.0,9.6,180000.0,172800.0
"Google Sheets",10.0,9.6,180000.0,172800.0
"GroupMe",10.0,10.0,180000.0,180000.0
"H*nest Meditation",10.0,10.8,180000.0,194400.0
